all_kinds_steve	我叫史蒂夫！
ch_reprompt_num_points	無效號碼。輸入分數：
ch_mte	數字必須大於或等於{0}。輸入號碼：
ch_lte	數字必須小於或等於{0}。輸入號碼：
no_loc_or_reset	您尚未設置位置，或者它已被重置。通過點擊🌍/📎或發送Google Maps URL進行發送。您也可以隨時鍵入\“ help \”。
ida_found	發現意圖驅動異常
ida_type	類型：{0}
ida_radius	半徑：{0}
ida_power	力量：{0}
ida_bearing	方位：{0}
ida_zscore	z分數：{0}
randpoint_generated	隨機點生成
suggested_time	建議時間：{0}
blind_spots_more_menu	您想得到什麼？  <br>量子點是單個隨機的點(潛在的盲點)。神秘點是隨機類型的點。
invalid_action	那是無效的動作。
agree_to_terms_q	您是否同意使用條款和隱私政策，並成為行為良好的Randonaut？
toc_dontagree	沒有
toc_doagree	我同意
toc_shame	真可惜如此眾多的隨機冒險正在等待著您。
toc_invalid_answer	那不是一個有效的答案。 {0}
qd_min1	輸入一個大於或等於1的最小含數字。要擲硬幣，請輸入1並為其分配頭數
qd_min2	無效的最小值。輸入所需的最小值：
qd_min3	最小值必須大於或等於1。再試一次：
qd_min4	無效的最小值，必須小於或等於254。再試一次：
qd_max1	輸入一個包含最大值的最大值，大於最小值，最大值為255。對於拋硬幣，輸入2並為其分配尾巴：
qd_max2	無效的最大值。輸入所需的最大值：
qd_max3	最大值必須大於1。再試一次：
qd_max4	無效的最大值，必須小於或等於255。再試一次：
qd_minmax	最小值({0})必須小於最大值({1})。將其設置為{2}。
qd_rolling	正在滾動...
qd_results	結果：{0} [{1}，{2}]。再次滾動？
qd_onlyyess	是或否，僅此而已。
err_no_entropy_fetch	無法獲取新的隨機數據。
err_qrng_service_failed	服務未返回隨機數據。
err_qrng_error	抱歉，隨機化需要錯誤的量子熵。請稍後再試。
scan_choose_kind	選擇掃描類型：
scan_invalid_action	那不是有效的掃描。
scan_attractor	掃描吸引點
scan_void	掃描空洞
scan_anomaly	掃描異常
scan_pair	掃描對
scan_sesson_inplace	您的掃描會話已經在進行中。
tr_did_you_visit	您是否訪問過或接近要去的地方，想報告旅行嗎？
tr_yes_sans_report	是，無報告
tr_yes_report	是的，報告！
tr_invalid_choice	那不是一個有效的選擇。
tr_set_intent_q	你有打算嗎
tr_enter_intent	你的意圖是什麼？
tr_hope_had_fun	希望您旅途愉快！
tr_collect_artifacts_q	您收集了任何文物嗎？
tr_wow_and_astounding_q	您的旅行是否“令人驚嘆！”？
tr_meaningfulness_q	評價旅行的意義(或輸入您自己的詞)：
tr_enriching	充實
tr_meaningful	有意義的
tr_casual	休閒裝
tr_meaningless	無意義的
tr_emotional_q	評價情感因素(或輸入您自己的詞)：
tr_dopamine_hit	多巴胺命中
tr_inspirational	勵志的
tr_plain	平原
tr_anxious	急
tr_despair	絕望
tr_dread	恐懼
tr_importance_q	評價重要性(或輸入您自己的詞)：
tr_lifechanging	改變生活
tr_influential	有影響
tr_ordinary	普通
tr_waste_time	浪費時間
tr_strangeness_q	評價陌生感(或輸入您自己的詞)：
tr_woowooweird	嗚嗚怪
tr_strange	奇怪
tr_normal	正常
tr_nothing	沒有
tr_synchronicity_q	評價同步因子(或輸入您自己的詞)：
tr_dirk_gently	德克·溫特利
tr_mind_blowing	吹牛
tr_somewhat	有些
tr_boredom	無聊
tr_wanna_upload_photos_q	您要上傳任何照片嗎？
tr_upload_photos_now	上傳您現在拍攝的所有照片。一次發送所有消息，因為發送僅限於一條消息。
tr_not_valid_upload	那不是有效的上傳。
tr_error_photo_upload	抱歉，上傳您的照片時出錯。
tr_photo_uploads_temp_disabled	抱歉，我們暫時更改了照片上傳功能！
tr_write_report	最後，編寫您的報告。鍵入報告僅限於發送一封郵件。
tr_tweet	鳴叫您的報告！
tr_thanks	感謝您的舉報！
welcome_back	歡迎回到Randonautica！
dont_forgot_send_loc	不要忘記發送您的當前位置。
iap_invalid_receipt	無效的購買收據：{0}。您將被舉報。
iap_maps_pack_enabled	啟用了Maps Pack加載項。
iap_search_water_points_enabled	啟用了“地點搜索”和“跳過水位包”附加組件。通過鍵入\“搜索<地名或地址> \”來設置您的位置。
iap_everything_enabled	Everything Pack附加組件已啟用。通過鍵入\“搜索<地名或地址> \”來設置您的位置。
iap_all_disabled	禁用所有加載項。
iap_no_purchases	您沒有購買記錄。
iap_buy	購買
iap_enable	啟用
iap_maps_pack	地圖包
iap_maps_pack_desc	應用內預覽地圖和街道
iap_search_water_points	地點搜索+跳過水袋
iap_search_water_points_desc	按地名搜索並跳過水位
iap_everything_pack	一切包
iap_everything_pack_desc	地圖+位置搜索+跳過水袋
iap_enabling...	正在啟用功能...
iap_thanks_enabling	謝謝。正在啟用...
sending_location	正在傳送您的位置...
connecting_bot	正在連接機器人...
sending_entropy	正在發送熵...
