all_kinds_steve	Я всі види Стіва!
md_lets_search	Давайте шукати! Що б ви хотіли отримати? <br> Аттрактори - це щільні скупчення випадкових точок. Увійдіть - їх протилежність, області пустот. <br> Аномалії - найсильніші з Аттрактор і увійдіть.
md_how_many_idas	До якої кількості точок ви хотіли б продовжувати пошук?
md_choose_qrng	Виберіть джерело ентропії (якщо не впевнені, виберіть КГСЧ Австралійський національний університет - ANU)
md_invalid_qrng	Немає такого джерела ентропії.
md_camera	Камера
md_anu	ANU
md_temporal	темпоральний
md_temporal_server	Темпоральний (Сервер)
md_temporal_phone	Темпоральний (Телефон)
md_anu_leftovers	ANU Залишкова ентропія
md_gcp_retro	GCP Retro
md_collecting_camera_entropy	Отримуємо ентропію з даних камери вашого телефону (фотографії не робляться)...
md_collecting_temporalphone_entropy	Отримуємо ентропію з часу виконання команд процесором вашого телефону...
yes	Так
no	немає
addons	додатки
update_settings_q	Оновити ваші настройки?
select_radius	Виберіть свій радіус в метрах або введіть цифри безпосередньо
include_water_points_q	Включати точки в водоймах?
show_google_street_earth_q	Показати попередній перегляд через Google Street View і Google Планета Земля?
invalid_answer	Це неправильна відповідь.
anonymized_id_is	Ваш анонімний ідентифікатор: {0}.
show_google_street_earth	Попередній перегляд Google Street View і Google Планета Земля буде {0}.
hidden	прихований
displayed	відображений
get_locsearch_skipwater_pack	Отримати "Пошук місць і Пропуск водойм" можна за допомогою кнопки «Додатки».
get_maps_pack	Завантажте пакет «Карти» для попереднього перегляду карт і вулиць в додатку за допомогою кнопки «Додатки».
bs_quantum	Квант.случ. точка
bs_quantum_time	Квант.случ. час
bs_intent_suggestions	варіанти намірів
bs_mystery_point	загадкова точка
bs_pair	пара точок
bs_pseudo	Псевдо-случ. точка
bs_scan	скан
bs_chains	ланцюжки точок
bs_dice	квантовий кубик
bs_back	<Назад
welcome_randonautica	Ласкаво просимо в Randonautica!
welcome_beginners	Новачки: будь ласка, почніть з прочитання [FAQ]({0}) і [9 принципів Рандонавтов]({1}).
welcome_report_share	Коли ви закінчите подорож, поділіться обговореннями з Рендонавтамі в [Reddit]({0}) і [Twitter]({1}).
first_send_location	Почніть з передачі свого місця розташування, натиснувши 🌍 / 📎 або відправивши URL-адресу Google Maps.
choose_chain_type	Ланцюжок з яких точок ви хочете отримати?
ch_invalid_point_type	Це неприпустимий тип точки.
ch_anomalies	аномалії
ch_voids	Увійдіть
ch_attractors	аттрактори
ch_current_or_sequential	Створити всі крапки в ланцюжку, починаючи з вашого поточного місця розташування або в послідовному порядку?
ch_current	З центру
ch_sequential	послідовно
ch_num_points	Введіть кількість точок для ланцюжка. Приблизна максимальна загальна відстань дорівнюватиме цього числа помноженому на ваш поточний радіус.
ch_invalid_number	Це неприпустиме число.
ch_reprompt_num_points	Неправильне число. Введіть кількість точок:
ch_mte	Число повинно бути більше або дорівнює {0}. Введіть число:
ch_lte	Число повинно бути менше або дорівнює {0}. Введіть число:
no_loc_or_reset	Ви не встановили місце розташування або воно було скинуто. Надішліть його, натиснувши 🌍 / 📎 або відправивши URL-адресу Google Maps. Ви також можете в будь-який час набрати \ "Допомога \".
ida_found	Виявлена ​​Створена наміри Аномалія
ida_type	Тип: {0}
ida_radius	Радіус: {0}
ida_power	Потужність: {0}
ida_bearing	Азимут: {0}
ida_zscore	z-оцінка: {0}
randpoint_generated	Сгенерирована випадкова точка
suggested_time	Рекомендований час для відвідування: {0}
blind_spots_more_menu	Що б ви хотіли отримати? Квантові точки - поодинокі випадкові координати (потенційні сліпі зони). Загадкова точка - випадково-обраний тип точки.
invalid_action	Це неприпустиме дію.
agree_to_terms_q	Чи згодні ви з умовами використання, політикою конфіденційності, обіцяєте чи вести себе як добропорядні Рандонавти?
toc_dontagree	немає
toc_doagree	Я згоден
toc_shame	Дуже шкода. Ви втрачаєте шанс на зустріч з незвіданим!
toc_invalid_answer	Це неприпустимий відповідь. {0}
qd_min1	Введіть мінімальне число, яка дорівнює або перевищує 1. Для кидка монети введіть 1 і призначте 1 решкою
qd_min2	Невірний мінімум. Введіть бажаний мінімум:
qd_min3	Мінімум повинен бути більше або дорівнює 1. Спробуйте ще раз:
qd_min4	Невірний мінімум, повинен бути менше або дорівнює 254. Спробуйте ще раз:
qd_max1	Введіть максимальну кількість (включно), що перевищує мінімальний, до 255. Для кидка монети введіть 2 і призначте 2 решкою.
qd_max2	Невірний максимум. Введіть бажаний максимум:
qd_max3	Максимум повинен бути більше 1. Спробуйте ще раз:
qd_max4	Невірний максимум, повинен бути менше або дорівнює 255. Спробуйте ще раз:
qd_minmax	Мінімум ({0}) повинен бути менше максимуму ({1}). Установка його в {2}.
qd_rolling	Кидаємо кубики...
qd_results	Результат: {0} [{1}, {2}]. Ще спроба?
qd_onlyyess	Тільки Так або Ні.
err_no_entropy_fetch	Не вдалося нові дані ентропії.
err_qrng_service_failed	Не отримано відповіді від сервісу генерації ентропії.
err_qrng_error	Вибачте, сталася помилка при пошуку квантової ентропії, необхідної для рандомізації. Спробуй трохи пізніше.
scan_choose_kind	Виберіть вид сканування:
scan_invalid_action	Немає такого варіанту сканування.
scan_attractor	сканувати Аттрактори
scan_void	сканувати Увійдіть
scan_anomaly	сканувати Аномалії
scan_pair	сканувати Пари
scan_sesson_inplace	Скан сесія вже запущена!
tr_did_you_visit	Добралися ви до точки або в її околицях? Хотіли б скласти звіт?
tr_yes_sans_report	Так, звіт пропустимо
tr_yes_report	Так, складемо звіт!
tr_invalid_choice	Такий вибір не передбачений
tr_set_intent_q	Встановлювали ви намір?
tr_enter_intent	Яке було ваше намір?
tr_hope_had_fun	Сподіваємося подорож вийшло веселим!
tr_collect_artifacts_q	Зібрали ви які-небудь артефакти?
tr_wow_and_astounding_q	Чи було це "УХ, ВАУ"?
tr_meaningfulness_q	Оцініть наскільки осмисленим було те, що відбувалося з Вами в дорозі? (Можна своїм словом)
tr_enriching	Життєвий досвід
tr_meaningful	значимо
tr_casual	зазвичай
tr_meaningless	безглуздо
tr_emotional_q	Оцініть емоційний фактор (можна своїм словом)
tr_dopamine_hit	емоційний підйом
tr_inspirational	вдохновляюще
tr_plain	звичайно
tr_anxious	тривожно
tr_despair	безвихідно
tr_dread	загрозливо
tr_importance_q	Оцініть важливість (можна своїм словом)
tr_lifechanging	Доленосного
tr_influential	значимо
tr_ordinary	зазвичай
tr_waste_time	Втрата часу
tr_strangeness_q	Оцініть дивина (можна своїм словом)
tr_woowooweird	Містика!
tr_strange	дивно
tr_normal	нормально
tr_nothing	ніяк
tr_synchronicity_q	Оцініть фактор синхроністичносгі (можна своїм словом)
tr_dirk_gently	Дірк Джентли
tr_mind_blowing	Кришесносно
tr_somewhat	трохи
tr_boredom	нудьга
tr_wanna_upload_photos_q	Чи хочете Ви завантажити фотки?
tr_upload_photos_now	Так як відправка обмежена одним повідомленням, виберіть і завантажте всі фотографії, які ви хочете відправити.
tr_not_valid_upload	Це не підходить для завантаження!
tr_error_photo_upload	Під час завантаження фотографій сталася помилка
tr_photo_uploads_temp_disabled	Виконуються роботи, завантаження фотографій тимчасово відключена, вибачте!
tr_write_report	Введіть текст Вашого звіту, відправка обмежена одним повідомленням.
tr_tweet	Твитнуть звіт!
tr_thanks	Дякую за звіт!
welcome_back	Ласкаво просимо в Рандонавтіку! Знову.
dont_forgot_send_loc	Не забудьте відправити своє поточне місце розташування
iap_invalid_receipt	Неправильний чек покупки: {0}. Цей інцидент буде розслідуваний.
iap_maps_pack_enabled	Доповнення Карти включено.
iap_search_water_points_enabled	Доповнення "Пошук місць і Пропуск водойм" вкючено. Для розташування набравши \ "search <назва місця або адресу> \".
iap_everything_enabled	Доповнення Все-все-все включено.Установіте розташування набравши \ "search <назва місця або адресу> \".
iap_all_disabled	Всі доповнення вимкнені
iap_no_purchases	Ви поки нічого не купували
iap_buy	купити
iap_enable	УВІМКНУТИ
iap_maps_pack	тільки Карти
iap_maps_pack_desc	Попередній карт і вулиць в додатку
iap_search_water_points	Пошук місць + Пропуск водойм
iap_search_water_points_desc	Пошук за назвою місць і пропуск водойм
iap_everything_pack	Все все все!
iap_everything_pack_desc	Карти + Пошук локацій + Пропуск водойм
iap_enabling...	Включаємо возможножності...
iap_thanks_enabling	Спасибі вам! Включаємо...
sending_location	Відправляємо розташування...
connecting_bot	Підключаємося до боту...
sending_entropy	Відправляємо ентропію...
dl_x_remaining	Наразі у вас є {0} балів. 1 бал витрачається щоразу, коли ви генеруєте місцезнаходження. Ваш баланс буде поповнено безкоштовно до максимум {1} балів щодня, коли ви відкриваєте додаток.
dl_x_tokens	Наразі у вас є {0} балів.
dl_no_tokens	У вас більше не залишилось балів. Будь ласка, поповніть меню з додатками або зачекайте 24 години, щоб отримати безкоштовне поповнення.
iap_added_x_points	Додано {0} балів. Тепер у вас є {1}.
iap_infinite_points_enabled	Увімкнено безмежні точки.
iap_20km_radius_extended	Максимальний радіус пошуку розширений до 20 км.
iap_add_20_t	Додайте 20 балів
iap_add_20_d	Дає вам ще 20 балів
iap_add_60_t	Додати 60 балів
iap_add_60_d	Дає вам ще 60 балів
iap_20km_r_t	Розширити радіус до 20 км
iap_20km_r_d	Розширює радіус пошуку до 20 км
iap_everything_t	Пакет "Все"
iap_everything_d	Усі пакети + Нескінченні бали
iap_infinnypoints_t	Нескінченні бали
iap_infinnypoints_d	Знайдіть необмежену кількість локацій
